Name,Type,Wavelength [nm],P_f,B_f
QT2,black,350.0,247.3264980279581,2926.867768432899
QT2,black,355.0,343.4182685030188,4055.118421936164
QT2,black,360.0,445.751495835891,5287.4922618859555
QT2,black,365.0,565.6010082668121,6709.7011814688
QT2,black,370.0,731.1170405534732,8547.53147398157
QT2,black,375.0,979.8177440220962,11318.592953278574
QT2,black,380.0,1293.759337915384,14939.200950563258
QT2,black,385.0,1648.7503916922599,18969.461986584978
QT2,black,390.0,2026.913190264332,23110.307012611695
QT2,black,395.0,2406.5755876583994,27266.838695828315
QT2,black,400.0,2770.4044217749592,31305.141672881815
QT2,black,405.0,3168.2471374140423,35481.878703342576
QT2,black,410.0,3552.950599815723,39704.21087008872
QT2,black,415.0,3950.18944820346,44168.09728501559
QT2,black,420.0,4374.974162604335,48800.176915225224
QT2,black,425.0,4819.183199026474,53490.44993011687
QT2,black,430.0,5281.7084371875335,58389.02393772204
QT2,black,435.0,5747.226231940554,63368.91605171942
QT2,black,440.0,6220.718933961202,68391.36751455584
QT2,black,445.0,6754.4666664498345,73942.41799500975
QT2,black,450.0,7297.796387064204,79667.29091917332
QT2,black,455.0,7853.3438371891225,85477.89806602347
QT2,black,460.0,8409.096283001061,91384.80576548386
QT2,black,465.0,9020.24576971904,97708.75706224416
QT2,black,470.0,9700.094809001946,104757.81189513876
QT2,black,475.0,10356.216668875908,111625.8883501132
QT2,black,480.0,10990.133200879201,118157.42859949412
QT2,black,485.0,11600.760694738672,124258.42949498507
QT2,black,490.0,12172.767085598003,130097.38966922413
QT2,black,495.0,12735.816210257808,135856.65226035385
QT2,black,500.0,13251.82601655887,140998.05927711222
QT2,black,505.0,13601.297992673093,144436.30471292275
QT2,black,510.0,13816.35830509135,146657.97789920587
QT2,black,515.0,14078.91402076567,149138.3718241462
QT2,black,520.0,14302.893419675745,151124.19355259894
QT2,black,525.0,14371.473927937292,151493.4282308278
QT2,black,530.0,14346.235728486687,151066.60825058984
QT2,black,535.0,14269.633114313412,150000.94716115558
QT2,black,540.0,14130.69452595656,148088.95906713625
QT2,black,545.0,13963.93764307858,145996.71850453774
QT2,black,550.0,13925.339916794062,145409.9388868904
QT2,black,555.0,14019.638158882879,146163.88738314825
QT2,black,560.0,14068.089786907834,146382.2415053073
QT2,black,565.0,14002.368100966109,145681.7982114094
QT2,black,570.0,13965.8694625653,145061.2894577736
QT2,black,575.0,14156.676992414641,146734.91199943473
QT2,black,580.0,14962.241663788118,154818.83384677742
QT2,black,585.0,16708.306164334823,172741.16958962462
QT2,black,590.0,19073.457245615024,197057.92112662346
QT2,black,595.0,21152.92396914158,218205.53130000428
QT2,black,600.0,22360.164613849338,230221.01705706297
QT2,black,605.0,23028.776384430817,236874.83028171252
QT2,black,610.0,23759.86716251191,244112.88862655437
QT2,black,615.0,24665.993902158745,252903.12270235247
QT2,black,620.0,25534.95013057453,261405.5418722969
QT2,black,625.0,26145.108953591454,267400.6388209375
QT2,black,630.0,26441.87733960926,269967.47928354924
QT2,black,635.0,26550.74712528422,270559.5676884386
QT2,black,640.0,26601.322186531535,270781.6924380295
QT2,black,645.0,26558.232716514714,270269.3437279239
QT2,black,650.0,26426.916749490603,268376.0330539677
QT2,black,655.0,26174.765419603227,265494.058123032
QT2,black,660.0,25843.29422124113,261870.15721717363
QT2,black,665.0,25384.939499543,256868.53785449694
QT2,black,670.0,24769.83949144412,250294.36104651366
QT2,black,675.0,24051.532521180085,242580.0863813796
QT2,black,680.0,23222.433037521783,233969.5627098167
QT2,black,685.0,22287.939343200036,224209.92810694076
QT2,black,690.0,21257.365245941914,213657.2761783345
QT2,black,695.0,20089.512116192447,201910.85228469476
QT2,black,700.0,18795.995470719325,188595.16829567164
QT2,black,705.0,17419.000039516995,174593.37609786767
QT2,black,710.0,16045.180109197836,160723.11250668493
QT2,black,715.0,14646.19128827447,146709.0620157576
QT2,black,720.0,13259.112034465252,132676.99248717484
QT2,black,725.0,12106.488255432041,121043.24465931718
QT2,black,730.0,11330.61573613981,113285.31230583962
QT2,black,735.0,10862.495668588283,108520.33013782692
QT2,black,740.0,10361.387209126597,103294.62931263392
QT2,black,745.0,9694.843029865284,96663.39318941848
QT2,black,750.0,8922.595334104251,89024.49815517606
QT2,black,755.0,8160.8358135130875,81439.54730499058
QT2,black,760.0,7441.533950384582,74223.07004013851
QT2,black,765.0,6798.207310960544,67731.11897715942
QT2,black,770.0,6255.588429957315,62332.50467539596
QT2,black,775.0,5794.517863012968,57823.34974971154
QT2,black,780.0,5428.20445900642,54091.03596597773
QT2,black,785.0,5135.968506540135,51096.881103921034
QT2,black,790.0,4901.566356152158,48673.1136174976
QT2,black,795.0,4719.023983729985,46736.342983085786
QT2,black,800.0,4574.803333265967,45313.201153203874
QT2,black,805.0,4454.207676523163,44073.660873214634
QT2,black,810.0,4333.676438818119,42796.26777098681
QT2,black,815.0,4231.190060227569,41650.78948553376
QT2,black,820.0,4121.636443291699,40530.53520792503
QT2,black,825.0,3999.268853909561,39269.31580265087
QT2,black,830.0,3853.504879880009,37902.76058958629
QT2,black,835.0,3705.559265426029,36386.396558424385
QT2,black,840.0,3541.494357013042,34717.07895451165
QT2,black,845.0,3369.932597542538,32984.414130669946
QT2,black,850.0,3181.353061369004,31136.60776022876
QT2,black,855.0,2990.6860408570337,29307.092034937592
QT2,black,860.0,2810.6571055004683,27547.669701891922
QT2,black,865.0,2637.0937472563255,25790.120720068004
QT2,black,870.0,2479.935205454429,24246.98273122703
QT2,black,875.0,2336.116814377962,22840.2539256606
QT2,black,880.0,2209.504202412642,21607.521975134165
QT2,black,885.0,2105.6186589205504,20586.13783107658
QT2,black,890.0,2008.5716534899925,19655.43401802566
QT2,black,895.0,1938.810495870054,18942.130315216327
