# Wed Jul  9 14:08:11 2025
# IV results with K4200
# V1, I1, I2, I3, I4
0.000000E+00,-1.025132E-14,-8.506865E-14,-1.136451E-14,-1.225973E-13
1.000000E-02,3.780249E-14,-8.965285E-14,-1.090171E-14,-2.239440E-13
2.000000E-02,-3.286981E-14,-5.390445E-14,-4.800956E-15,4.528978E-14
3.000000E-02,2.591514E-16,-5.264273E-14,4.194339E-14,-4.629266E-14
4.000000E-02,2.926798E-14,-7.787688E-14,4.834017E-15,-2.429255E-13
5.000000E-02,2.897373E-14,-8.624622E-14,3.975554E-14,-1.100552E-13
6.000000E-02,2.754432E-14,-8.426956E-14,-1.653963E-14,-2.387168E-13
7.000000E-02,7.658506E-15,-7.316651E-14,2.023314E-14,-1.994912E-13
8.000000E-02,-1.336241E-14,-8.170406E-14,-1.603318E-15,-7.339702E-14
9.000000E-02,-7.266350E-15,-8.515276E-14,-2.524897E-14,1.867459E-13
1.000000E-01,-2.572270E-14,-6.778321E-14,8.957279E-15,-1.438936E-13
1.100000E-01,-1.496001E-14,-6.542805E-14,6.769433E-15,8.631551E-15
1.200000E-01,1.064348E-14,-8.048442E-14,1.320677E-14,2.794973E-14
1.300000E-01,2.237313E-14,-2.867029E-14,2.309574E-15,-3.017314E-14
1.400000E-01,3.523798E-14,-4.036211E-14,2.153745E-14,-1.689357E-13
1.500000E-01,-1.651554E-14,-4.801647E-14,4.162388E-16,-3.442396E-14
1.600000E-01,2.262540E-14,-6.517570E-14,1.257715E-15,-3.333246E-13
1.700000E-01,-1.521225E-14,-7.972740E-14,4.236413E-14,4.675324E-15
1.800000E-01,2.043922E-14,-5.958212E-14,-3.244204E-15,-1.722185E-13
1.900000E-01,-2.660559E-14,-3.636668E-14,-2.554349E-14,2.924697E-13
2.000000E-01,1.715997E-14,-8.077883E-14,6.054172E-15,-9.877578E-14
2.100000E-01,5.352614E-14,-8.035825E-14,2.561863E-14,1.156180E-13
2.200000E-01,3.002476E-14,-4.494631E-14,3.769390E-14,7.663548E-15
2.300000E-01,2.487350E-15,-1.533821E-14,4.202903E-15,-4.604012E-14
2.400000E-01,-2.076174E-14,-6.799349E-14,2.157951E-14,-3.396101E-14
2.500000E-01,4.490760E-14,-7.989564E-14,1.333298E-14,3.872412E-14
2.600000E-01,3.023499E-14,-9.167157E-14,-2.386052E-14,-4.204181E-14
2.700000E-01,2.880552E-14,-7.749839E-14,-1.216392E-14,1.940270E-13
2.800000E-01,3.090762E-14,-6.029710E-14,3.386515E-14,1.934799E-13
2.900000E-01,1.856723E-15,-3.632465E-14,5.498635E-14,1.801708E-14
3.000000E-01,4.734597E-14,-7.001225E-14,-1.107000E-14,3.183115E-13
3.100000E-01,-4.954045E-15,-1.416063E-14,3.100412E-14,-2.909998E-16
3.200000E-01,-1.790291E-14,-4.423133E-14,3.828294E-14,-1.853919E-13
3.300000E-01,2.022902E-14,-7.947505E-14,-1.258466E-14,7.496147E-14
3.400000E-01,1.602481E-14,-6.605889E-14,1.194455E-14,1.028234E-13
3.500000E-01,-8.443523E-15,-4.494631E-14,9.504244E-15,5.459110E-14
3.600000E-01,7.574399E-15,-5.844661E-14,3.386515E-14,-2.209558E-13
3.700000E-01,3.717187E-14,-5.840453E-14,1.316469E-14,1.085052E-13
3.800000E-01,-1.134439E-14,-6.218967E-14,2.772386E-15,-1.032370E-13
3.900000E-01,-4.493584E-14,-6.181113E-14,1.110306E-14,-2.710075E-14
4.000000E-01,4.457123E-14,-7.623667E-14,-5.516217E-15,-2.991096E-13
4.100000E-01,-5.817016E-16,-8.014796E-14,7.106024E-15,-3.701910E-13
4.200000E-01,-3.076773E-14,-2.274022E-14,-1.039681E-14,-2.603914E-13
