model,BM,balanced_acc,acc,precision,recall,f1,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
TabNetClassifier,baseline,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,preR,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,posC,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,preR posC,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,posE,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,preR posE,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,posR,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,preR posR,0.415198075,0.717079531,0.016129032,0.081081081,0.02690583,0.041176471,0.129994135,0.212806424,4.873076923,0.099426625,1
TabNetClassifier,preD,0.408848575,0.680573664,0.018518519,0.108108108,0.031620553,0.091176471,0.169578842,0.244716822,4.711538462,0.10091485,1
TabNetClassifier,preD posC,0.408848575,0.680573664,0.018518519,0.108108108,0.031620553,0.091176471,0.169578842,0.244716822,4.711538462,0.10091485,1
TabNetClassifier,preD posE,0.408848575,0.680573664,0.018518519,0.108108108,0.031620553,0.091176471,0.169578842,0.244716822,4.711538462,0.10091485,1
TabNetClassifier,preD posR,0.408848575,0.680573664,0.018518519,0.108108108,0.031620553,0.091176471,0.169578842,0.244716822,4.711538462,0.10091485,1
XGBClassifier,baseline,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,preR,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,posC,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,preR posC,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,posE,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,preR posE,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,posR,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,preR posR,0.594687153,0.521512386,0.065789474,0.675675676,0.119904077,-0.382352941,-0.349177459,-0.335587489,0.575854701,0.07373592,1
XGBClassifier,preD,0.555516475,0.520208605,0.058666667,0.594594595,0.106796117,-0.423529412,-0.363771133,-0.318047337,0.586538462,0.077747644,1
XGBClassifier,preD posC,0.555516475,0.520208605,0.058666667,0.594594595,0.106796117,-0.423529412,-0.363771133,-0.318047337,0.586538462,0.077747644,1
XGBClassifier,preD posE,0.555516475,0.520208605,0.058666667,0.594594595,0.106796117,-0.423529412,-0.363771133,-0.318047337,0.586538462,0.077747644,1
XGBClassifier,preD posR,0.555516475,0.520208605,0.058666667,0.594594595,0.106796117,-0.423529412,-0.363771133,-0.318047337,0.586538462,0.077747644,1
catboost,baseline,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,preR,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,posC,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,preR posC,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,posE,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,preR posE,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,posR,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,preR posR,0.629803776,0.612777053,0.077922078,0.648648649,0.139130435,-0.65,-0.664939024,-0.678994083,0.321005917,0.076730149,1
catboost,preD,0.605831174,0.56714472,0.069970845,0.648648649,0.126315789,-0.65,-0.638262195,-0.627218935,0.372781065,0.076414626,1
catboost,preD posC,0.605831174,0.56714472,0.069970845,0.648648649,0.126315789,-0.65,-0.638262195,-0.627218935,0.372781065,0.076414626,1
catboost,preD posE,0.605831174,0.56714472,0.069970845,0.648648649,0.126315789,-0.65,-0.638262195,-0.627218935,0.372781065,0.076414626,1
catboost,preD posR,0.605831174,0.56714472,0.069970845,0.648648649,0.126315789,-0.65,-0.638262195,-0.627218935,0.372781065,0.076414626,1
MLPClassifier,baseline,0.5,0.048239896,0.048239896,1,0.092039801,0,0,0,1,0.007283703,0.003
MLPClassifier,preR,0.578563495,0.441981747,0.060674157,0.72972973,0.112033195,-0.5,-0.487804878,-0.476331361,0.523668639,0.06663022,1
MLPClassifier,posC,0.577193632,0.439374185,0.060402685,0.72972973,0.111570248,-0.5,-0.486280488,-0.473372781,0.526627219,0.066447173,1
MLPClassifier,preR posC,0.5,0.048239896,0.048239896,1,0.092039801,0,0,0,1,0.007283703,0.003
MLPClassifier,posE,0.58541281,0.455019557,0.062068966,0.72972973,0.11440678,-0.5,-0.495426829,-0.49112426,0.50887574,0.06751095,1
MLPClassifier,preR posE,0.627489819,0.754889179,0.096256684,0.486486486,0.160714286,-0.514705882,-0.496970608,-0.496407439,0.271401985,0.076868693,1
MLPClassifier,posR,0.578563495,0.441981747,0.060674157,0.72972973,0.112033195,-0.5,-0.487804878,-0.476331361,0.523668639,0.06663022,1
MLPClassifier,preR posR,0.575138837,0.435462842,0.06,0.72972973,0.110882957,-0.5,-0.483993902,-0.468934911,0.531065089,0.066168368,1
MLPClassifier,preD,0.58061829,0.44589309,0.061085973,0.72972973,0.112734864,-0.5,-0.490091463,-0.480769231,0.519230769,0.066900514,1
MLPClassifier,preD posC,0.579248427,0.443285528,0.060810811,0.72972973,0.112266112,-0.5,-0.488567073,-0.477810651,0.522189349,0.06672089,1
MLPClassifier,preD posE,0.581303221,0.447196871,0.06122449,0.72972973,0.112970711,-0.5,-0.490853659,-0.482248521,0.517751479,0.066989463,1
MLPClassifier,preD posR,0.584042947,0.452411995,0.061784897,0.72972973,0.113924051,-0.5,-0.493902439,-0.48816568,0.51183432,0.06733946,1
