model,BM,balanced_acc,acc,precision,recall,f1,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
AD,preR inAD posE,0.56037572,0.485660681,0.134129984,0.656716418,0.222762252,-0.323963317,-0.191425568,-0.081689714,0.851412413,0.096177304,0.853
AD,preR inAD posR,0.504292636,0.883811311,0.229357798,0.014925373,0.028026906,-0.014952153,-0.01065669,-0.007326746,0,0.119572726,0.627
TabNetClassifier,baseline,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
AD,inAD posC,0.528637746,0.203363709,0.118595967,0.948059701,0.210819781,0.052033493,0.080806599,0.103112187,1.114966649,0.034770783,0.384
AD,inAD posE,0.579374214,0.649959796,0.157762777,0.488358209,0.238483965,-0.48923445,-0.398569757,-0.327180755,0.061059397,0.117185906,1
TabNetClassifier,preD posR,0.589347819,0.607477888,0.155946702,0.565970149,0.244518958,-0.233054226,-0.128385569,-0.045772498,0.887667858,0.109435099,0.673
XGBClassifier,preR posR,0.632010571,0.613776467,0.174701671,0.655522388,0.275879397,0.345095694,0.215576486,0.08978732,1.213347062,0.098926581,1
XGBClassifier,preD posC,0.629252244,0.608415974,0.172608764,0.656119403,0.273315096,0.344497608,0.189407421,0.041587829,1.097510186,0.098923153,0.812
MLPClassifier,preR posR,0.596761614,0.622956312,0.161527921,0.562985075,0.251031545,-0.230063796,-0.152158847,-0.093604436,0.760894026,0.109488454,0.901
MLPClassifier,preD posR,0.583979799,0.468306084,0.140890317,0.733134328,0.236358387,-0.066586922,-0.100193912,-0.137650722,0.764481911,0.086116425,0.739
LogisticRegression,posR,0.595619945,0.552867864,0.151852884,0.650746269,0.246244211,-0.317982456,-0.275494963,-0.2477078,0.485817087,0.099279991,1
LogisticRegression,preR posR,0.595280297,0.552264808,0.151662724,0.650746269,0.245994132,0.015948963,0.141962985,0.242594952,1.504555446,0.099268059,0.949
MLPClassifier,posC,0.59816261,0.605534709,0.159443726,0.588656716,0.250922509,-0.255781499,-0.153687624,-0.074174186,0.821094461,0.106808382,0.77
MLPClassifier,posR,0.587433487,0.49249531,0.143651081,0.709850746,0.238946945,-0.043261563,-0.061983954,-0.086798271,0.84357385,0.090182921,0.272
