iter	Accuracy	Logloss
0	0.8672230653	0.687383179
1	0.8717754173	0.6816162299
2	0.8717754173	0.6762280036
3	0.8672230653	0.6712708043
4	0.8672230653	0.6662918393
5	0.8672230653	0.6609280141
6	0.8672230653	0.6559672714
7	0.8672230653	0.6508819877
8	0.8672230653	0.6465536349
9	0.8672230653	0.6416638525
