model,BM,balanced_acc,acc,precision,recall,f1,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
AD,inAD,0.57119715,0.493299384,0.138257343,0.671641791,0.229311048,-0.67284689,-0.601928935,-0.54695167,0,0.094769646,1
AD,baseline,0.591732477,0.607544894,0.156988189,0.571343284,0.246300347,-0.572368421,-0.378156088,-0.21766571,0.468011703,0.108805818,1
AD,preR inAD posC,0.565784565,0.630461002,0.148093842,0.48238806,0.226616183,0.51854067,0.584942429,0.636418633,2.750415973,0.118659669,1
AD,preR inAD posE,0.56037572,0.485660681,0.134129984,0.656716418,0.222762252,-0.323963317,-0.191425568,-0.081689714,0.851412413,0.096177304,0.853
AD,preR inAD posR,0.504292636,0.883811311,0.229357798,0.014925373,0.028026906,-0.014952153,-0.01065669,-0.007326746,0,0.119572726,0.627
AD,preD inAD posC,0.559825253,0.620343072,0.143978591,0.481791045,0.221703297,0.519138756,0.579561805,0.626403173,2.67668226,0.119032257,1
AD,preD inAD posE,0.592168578,0.657397481,0.165564202,0.508059701,0.249743213,0.492822967,0.585676913,0.657659474,2.921068133,0.114553496,1
AD,preD inAD posR,0.498735517,0.307692308,0.111898144,0.745074627,0.194574369,-0.746411483,-0.748253072,-0.749680715,0,0.071015405,1
AD,preR inAD,0.567233123,0.6760922,0.155807365,0.426865672,0.228288633,-0.427631579,-0.360502651,-0.308462728,0,0.122710634,1
AD,preD inAD,0.534731993,0.416979362,0.123311173,0.686567164,0.209071903,-0.687799043,-0.653479226,-0.626873698,0,0.088202537,1
AD,inAD posC,0.528637746,0.203363709,0.118595967,0.948059701,0.210819781,0.052033493,0.080806599,0.103112187,1.114966649,0.034770783,0.384
AD,inAD posE,0.579374214,0.649959796,0.157762777,0.488358209,0.238483965,-0.48923445,-0.398569757,-0.327180755,0.061059397,0.117185906,1
AD,inAD posR,0.513965458,0.157866524,0.115169929,0.973134328,0.205964114,-0.640948963,-0.692037423,-0.737896138,0.223808184,0.025905644,1
AD,preR posC,0.595582522,0.547708389,0.151298612,0.657313433,0.245978552,-0.324561404,-0.270715007,-0.233018554,0.52283317,0.098395788,1
AD,preR posE,0.589636255,0.493165371,0.144427002,0.714029851,0.240257131,-0.715311005,-0.443501084,-0.215130024,0.612765957,0.089719143,1
AD,preR posR,0.581099875,0.487268829,0.141193421,0.702089552,0.235105958,-0.369417863,-0.273129296,-0.197012667,0.647382405,0.090846085,1
AD,preD posC,0.571400263,0.593205575,0.146396396,0.543283582,0.230642504,-0.544258373,-0.473037933,-0.417826175,0,0.112245193,1
AD,preD posE,0.565881018,0.679710533,0.155688623,0.419104478,0.227037516,-0.419856459,-0.354078173,-0.303085299,0,0.123331441,1
AD,preD posR,0.578540876,0.642924149,0.156191193,0.495522388,0.237516097,-0.496411483,-0.417989914,-0.357195671,0,0.116667723,1
AD,preR,0.580292559,0.447869204,0.138530999,0.751044776,0.233915954,-0.418460925,-0.402830511,-0.396967188,0.348949305,0.082708232,1
AD,preD,0.574110262,0.658670598,0.156519992,0.465074627,0.234215274,-0.465909091,-0.391909487,-0.334543255,0,0.119427102,1
AD,posC,0.592466905,0.549584562,0.150339476,0.647761194,0.244039586,-0.648923445,-0.442631493,-0.27167311,0.439200659,0.099565647,1
AD,posE,0.594624432,0.615920665,0.159476246,0.567164179,0.248951782,-0.234250399,-0.20409897,-0.186978615,0.532254775,0.109154562,1
AD,posR,0.598279611,0.544626106,0.151964116,0.667462687,0.247564216,-0.334728868,-0.278184199,-0.238395982,0.517138595,0.09712487,1
TabNetClassifier,baseline,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,preR posC,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,preR posE,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,preR posR,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,preD posC,0.589347819,0.607477888,0.155946702,0.565970149,0.244518958,-0.233054226,-0.128385569,-0.045772498,0.887667858,0.109435099,0.673
TabNetClassifier,preD posE,0.589347819,0.607477888,0.155946702,0.565970149,0.244518958,-0.233054226,-0.128385569,-0.045772498,0.887667858,0.109435099,0.673
TabNetClassifier,preD posR,0.589347819,0.607477888,0.155946702,0.565970149,0.244518958,-0.233054226,-0.128385569,-0.045772498,0.887667858,0.109435099,0.673
TabNetClassifier,preR,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,preD,0.589347819,0.607477888,0.155946702,0.565970149,0.244518958,-0.233054226,-0.128385569,-0.045772498,0.887667858,0.109435099,0.673
TabNetClassifier,posC,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,posE,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
TabNetClassifier,posR,0.604326995,0.628517824,0.16583175,0.573134328,0.257234727,0.093700159,0.057828187,0.016408307,1.042306132,0.108168061,0.207
XGBClassifier,baseline,0.632010571,0.613776467,0.174701671,0.655522388,0.275879397,0.345095694,0.215576486,0.08978732,1.213347062,0.098926581,1
XGBClassifier,preR posC,0.632010571,0.613776467,0.174701671,0.655522388,0.275879397,0.345095694,0.215576486,0.08978732,1.213347062,0.098926581,1
XGBClassifier,preR posE,0.632010571,0.613776467,0.174701671,0.655522388,0.275879397,0.345095694,0.215576486,0.08978732,1.213347062,0.098926581,1
XGBClassifier,preR posR,0.632010571,0.613776467,0.174701671,0.655522388,0.275879397,0.345095694,0.215576486,0.08978732,1.213347062,0.098926581,1
XGBClassifier,preD posC,0.629252244,0.608415974,0.172608764,0.656119403,0.273315096,0.344497608,0.189407421,0.041587829,1.097510186,0.098923153,0.812
XGBClassifier,preD posE,0.629252244,0.608415974,0.172608764,0.656119403,0.273315096,0.344497608,0.189407421,0.041587829,1.097510186,0.098923153,0.812
XGBClassifier,preD posR,0.629252244,0.608415974,0.172608764,0.656119403,0.273315096,0.344497608,0.189407421,0.041587829,1.097510186,0.098923153,0.812
XGBClassifier,preR,0.632010571,0.613776467,0.174701671,0.655522388,0.275879397,0.345095694,0.215576486,0.08978732,1.213347062,0.098926581,1
