Name,Type,Wavelength [nm],P_f,B_f
QFB,white,350.0,436.0011422906441,6907.177277945989
QFB,white,355.0,601.0218473605959,9556.80725634135
QFB,white,360.0,776.5094652805883,12408.83596942294
QFB,white,365.0,976.5079347261193,15685.754309765087
QFB,white,370.0,1241.8975855853,19872.184856196498
QFB,white,375.0,1640.5655034923582,26133.244415622445
QFB,white,380.0,2146.9931637615155,34286.86597244968
QFB,white,385.0,2710.952291731388,43307.04520653499
QFB,white,390.0,3292.8145358232778,52481.078670688315
QFB,white,395.0,3872.8860189479706,61549.91570421601
QFB,white,400.0,4424.23613755285,70159.94401271791
QFB,white,405.0,5001.71467826192,78917.02460626521
QFB,white,410.0,5561.239601963517,87751.20636456143
QFB,white,415.0,6146.989659665092,96991.96436524113
QFB,white,420.0,6758.214076429784,106574.39879591341
QFB,white,425.0,7386.199894044317,116113.14935217662
QFB,white,430.0,8033.714542401109,126008.7161658731
QFB,white,435.0,8677.76708057957,136012.5446828116
QFB,white,440.0,9331.303245450377,145919.39375682233
QFB,white,445.0,10055.551702737319,157004.0277446329
QFB,white,450.0,10787.474001904608,168321.01805253702
QFB,white,455.0,11528.13324430747,179651.22918995674
QFB,white,460.0,12275.213479563918,191076.81184373898
QFB,white,465.0,13086.899007121841,203250.8922400353
QFB,white,470.0,13986.630724268056,216825.3371568173
QFB,white,475.0,14858.555613358669,230031.73547106484
QFB,white,480.0,15683.359313664492,242396.11665332306
QFB,white,485.0,16456.82104992155,253740.04587220575
QFB,white,490.0,17185.036482332718,264644.9683793257
QFB,white,495.0,17894.398874672457,275192.1930703556
QFB,white,500.0,18525.35980140218,284317.5664832998
QFB,white,505.0,18925.399484942507,290048.09098304965
QFB,white,510.0,19146.826794226046,293534.0619206618
QFB,white,515.0,19428.366488244523,297375.88156647404
QFB,white,520.0,19652.134116736634,300272.3710090741
QFB,white,525.0,19664.666591659327,300069.3330544427
QFB,white,530.0,19559.233582845456,298445.37187330314
QFB,white,535.0,19383.170038570395,295507.03515063936
QFB,white,540.0,19115.213643583495,290889.71973635675
QFB,white,545.0,18815.36790143071,286060.670827218
QFB,white,550.0,18688.600593355848,284028.2225992645
QFB,white,555.0,18741.555096093573,284761.1545864984
QFB,white,560.0,18747.231635129225,284479.8609297187
QFB,white,565.0,18607.524138082998,282325.8291402908
QFB,white,570.0,18490.792228874296,280184.4731711947
QFB,white,575.0,18676.27245119539,282396.54825116426
QFB,white,580.0,19671.830155151074,296775.7772698843
QFB,white,585.0,21883.55371533076,329188.67213208275
QFB,white,590.0,24903.983304783837,373691.730564198
QFB,white,595.0,27547.810999405894,412253.10810182587
QFB,white,600.0,29045.55191190751,433663.5399383485
QFB,white,605.0,29836.751444318696,445174.0344056684
QFB,white,610.0,30691.1371783261,457423.650893117
QFB,white,615.0,31772.99192631405,472697.11613369564
QFB,white,620.0,32801.62981273253,487242.38984702626
QFB,white,625.0,33496.66740462872,497248.8851474641
QFB,white,630.0,33797.41782660011,500942.04191688914
QFB,white,635.0,33857.23272315357,500940.68405454565
QFB,white,640.0,33834.371429438186,500125.64268000616
QFB,white,645.0,33713.01168478049,497761.1326274978
QFB,white,650.0,33470.67729611546,492836.66564679524
QFB,white,655.0,33076.10565743905,486520.6134771026
QFB,white,660.0,32590.519852740803,479147.8904745629
QFB,white,665.0,31944.930032841243,468878.2925029512
QFB,white,670.0,31105.363902118002,455756.40137488965
QFB,white,675.0,30137.577860020716,440777.3988311119
QFB,white,680.0,29043.94092798395,424299.46025353065
QFB,white,685.0,27820.12934799659,405743.7997193574
QFB,white,690.0,26484.040519632323,385614.28358317516
QFB,white,695.0,24992.43144819549,363478.06956456334
QFB,white,700.0,23346.840294958474,338937.45263774245
QFB,white,705.0,21606.042720773767,313159.9764228856
QFB,white,710.0,19874.862404128206,287628.81404827075
QFB,white,715.0,18121.70528119767,261925.61509091142
QFB,white,720.0,16385.103307472258,236537.15140593098
QFB,white,725.0,14939.701123926907,215371.55855656753
QFB,white,730.0,13959.55329098888,200787.12398313533
QFB,white,735.0,13360.64377486048,191775.4229625809
QFB,white,740.0,12726.214940810307,182213.74380686766
QFB,white,745.0,11899.844327007357,170204.13077916083
QFB,white,750.0,10939.297709483555,156346.17294565294
QFB,white,755.0,10003.799492377206,142798.69224840193
QFB,white,760.0,9114.793346721164,129792.5110406216
QFB,white,765.0,8315.476256112719,118057.69795345962
QFB,white,770.0,7644.611341379548,108393.44985000837
QFB,white,775.0,7077.069328162958,100282.49043844132
QFB,white,780.0,6621.554707766793,93578.17629676954
QFB,white,785.0,6256.328079498351,88185.65740842598
QFB,white,790.0,5959.935920688568,83785.59591240881
QFB,white,795.0,5726.654880248606,80239.5694073226
QFB,white,800.0,5542.838042101561,77626.80145379246
QFB,white,805.0,5386.176397269541,75379.84060327524
QFB,white,810.0,5228.59460300545,73031.32879330138
QFB,white,815.0,5096.04569739821,70938.49543123212
QFB,white,820.0,4959.814892446718,68911.26368030929
QFB,white,825.0,4803.571391888382,66653.50429114931
QFB,white,830.0,4627.513998562015,64184.64672960006
QFB,white,835.0,4443.101480949024,61436.7294124308
QFB,white,840.0,4240.384632152482,58554.135596808504
QFB,white,845.0,4030.996063910449,55532.20443758839
QFB,white,850.0,3804.2750452859323,52317.310379156675
QFB,white,855.0,3576.4325839054045,49194.98662891126
QFB,white,860.0,3361.2163053194354,46078.81338099079
QFB,white,865.0,3148.84209240457,43158.06166398048
QFB,white,870.0,2958.9652958498996,40512.4279259825
QFB,white,875.0,2786.0199426407794,38031.41880158802
QFB,white,880.0,2633.3776833328807,35875.34412095322
QFB,white,885.0,2508.9408811568837,34131.35665381973
QFB,white,890.0,2393.2871174925863,32576.69469030323
QFB,white,895.0,2306.762240637603,31326.44277118592
