User,Original Size (bytes),Privatized Size (bytes),Compression Ratio
S12 POSTEST 1,48609,92505,1.903
S02 post,46353,100558,2.1694
S19 POST PARTE1,75107,137303,1.8281
S01post,80011,179346,2.2415
S14 POST PARTE 1,65411,117405,1.7949
s25 post parte1,88259,161343,1.8281
S07 POST PARTE1,177875,325130,1.8279
S09 POST PARTE 1,147536,264784,1.7947
s21 post1,54605,114864,2.1035
S23 POST 1,123663,252990,2.0458
S11 POST,53119,115181,2.1684
s13 post parte,92724,172799,1.8636
S04Post,62363,139779,2.2414
S05 post parte 1,124511,223438,1.7945
S06 DIA 2 PARTE 1,108379,191181,1.764
S08 POST PARTE 1,70236,126074,1.795
S24 POST PARTE1,55427,101319,1.828
s18 post parte1,33203,60692,1.8279
S16 POST PARTE 1,113636,203925,1.7945
S03 Post,68266,148070,2.169
