User,Epsilon,Maximun Error,Execution time
S12 POSTEST 1,15.6,2.26,73.5297
S02 post,15.9,2.4,288.485
S19 POST PARTE1,11.8,2.12,24.3731
S01post,13.3,1.52,277.1499
S14 POST PARTE 1,14.1,1.39,28.6664
s25 post parte1,14.5,2.24,51.112
S07 POST PARTE1,10.2,26.64,759.5076
S09 POST PARTE 1,12.6,1.5,166.9951
s21 post1,13.7,2.98,178.81
S23 POST 1,11.4,0.85,81.091
S11 POST,15.7,0.63,274.1345
s13 post parte,14.5,2.74,30.5048
S04Post,14.6,0.37,28.4613
S05 post parte 1,15.4,0.84,60.7277
S06 DIA 2 PARTE 1,10.7,1.16,87.2899
S08 POST PARTE 1,15.7,1.32,186.3383
S24 POST PARTE1,9.5,2.34,22.7829
s18 post parte1,14.5,10.02,282.8175
S16 POST PARTE 1,13.5,1.34,363.709
S03 Post,13.8,2.12,288.0227
