Método,3000,4000,5000,6000,7000
Método de Apple,10.00 / 0.97,10.00 / 1.89,10.00 / 1.06,10.00 / 0.91,10.00 / 0.97
CLiP,3.70 / 4.93,4.60 / 4.88,2.90 / 4.84,3.80 / 4.30,3.80 / 4.46
